epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
109,0.38074344,0.23417656,0.10458422,0.49879402,2200.0,-6.039724,0.655,11000.0,0.178
110,0.38078213,0.23413858,0.104586124,0.49887604,2220.0,-5.962687,0.68500006,11100.0,0.178
111,0.3808071,0.23408945,0.10457869,0.4989427,2240.0,-5.8336024,0.73,11200.0,0.19399999
112,0.38076618,0.23407757,0.10456222,0.49902144,2260.0,-5.711575,0.655,11300.0,0.169
113,0.38074842,0.23409209,0.10454385,0.49909967,2280.0,-6.2240157,0.68,11400.0,0.192
114,0.3807355,0.23404953,0.10454489,0.49915877,2300.0,-5.7926917,0.66499996,11500.0,0.191
115,0.380783,0.23399568,0.10453601,0.49923196,2320.0,-5.566539,0.70500004,11600.0,0.188
116,0.38076854,0.23396721,0.10452588,0.49930006,2340.0,-5.5759115,0.7,11700.0,0.17500001
117,0.38079444,0.23394696,0.10453282,0.49938107,2360.0,-5.7452765,0.755,11800.0,0.191
118,0.38079548,0.23394176,0.1045288,0.4994749,2380.0,-6.174127,0.71,11900.0,0.17500001
119,0.38077664,0.23391052,0.10452169,0.49955255,2400.0,-5.3000717,0.68500006,12000.0,0.2
120,0.38079146,0.23389426,0.1045048,0.49961942,2420.0,-5.8203697,0.73,12100.0,0.19000001
121,0.38080272,0.23390058,0.10449882,0.49969786,2440.0,-5.875217,0.70500004,12200.0,0.198
122,0.3807917,0.23387745,0.10448029,0.49977714,2460.0,-5.869462,0.7,12300.0,0.191
123,0.38077733,0.23388545,0.10446556,0.49984097,2480.0,-5.1625524,0.71999997,12400.0,0.17999999
124,0.3807554,0.23388605,0.10446714,0.4998942,2500.0,-5.1872315,0.685,12500.0,0.183
125,0.3807406,0.23387495,0.10446664,0.49995604,2520.0,-5.8197947,0.69500005,12600.0,0.167
126,0.38072804,0.23385993,0.10446354,0.50001127,2540.0,-5.72083,0.71999997,12700.0,0.189
127,0.38073373,0.23386815,0.104447365,0.5000703,2560.0,-5.833262,0.68500006,12800.0,0.19500001
128,0.3807374,0.2338403,0.10444269,0.5001182,2580.0,-5.4470816,0.73499995,12900.0,0.21399999
129,0.38067025,0.23383245,0.10442765,0.50016385,2600.0,-6.0923195,0.65500003,13000.0,0.178
130,0.3806654,0.23381755,0.10442195,0.5002271,2620.0,-5.5264697,0.725,13100.0,0.164
131,0.38065425,0.2337937,0.10442214,0.50028074,2640.0,-6.2792945,0.695,13200.0,0.171
132,0.3806261,0.2337589,0.10440768,0.5003262,2660.0,-5.245847,0.6999999,13300.0,0.17999999
133,0.3806024,0.23374605,0.104407534,0.50038344,2680.0,-5.4556713,0.71500003,13400.0,0.19899999
134,0.38059226,0.23372182,0.104409695,0.5004351,2700.0,-6.2439847,0.64,13500.0,0.181
135,0.3805962,0.23370358,0.10440953,0.50048995,2720.0,-5.087737,0.775,13600.0,0.18500002
136,0.38060218,0.23370044,0.10440351,0.50054824,2740.0,-5.2654133,0.695,13700.0,0.17899999
137,0.38061205,0.23367336,0.104404524,0.50059485,2760.0,-5.220557,0.75,13800.0,0.19500001
138,0.38064718,0.23364136,0.104408205,0.50063586,2780.0,-4.911212,0.725,13900.0,0.19099998
139,0.3806931,0.23361775,0.10441091,0.5006897,2800.0,-5.2972727,0.765,14000.0,0.211
140,0.38071653,0.23359048,0.10441931,0.5007469,2820.0,-5.4354897,0.68500006,14100.0,0.205
141,0.38068026,0.2335659,0.10442368,0.50079256,2840.0,-4.802767,0.78000003,14200.0,0.15599999
142,0.38067263,0.23358205,0.104414925,0.5008435,2860.0,-4.947855,0.735,14300.0,0.15900001
143,0.38070926,0.23354718,0.1044078,0.5008812,2880.0,-5.2862215,0.765,14400.0,0.19000001
144,0.38068575,0.23355202,0.10440923,0.50093645,2900.0,-4.976421,0.70500004,14500.0,0.17400001
145,0.38065496,0.23352876,0.10440757,0.5009903,2920.0,-6.123415,0.71,14600.0,0.20100002
146,0.38068128,0.23350084,0.10440077,0.5010364,2940.0,-5.7169614,0.755,14700.0,0.19299999
147,0.38072726,0.23348543,0.10439581,0.5010686,2960.0,-5.622961,0.75,14800.0,0.201
148,0.3807025,0.23347923,0.10439172,0.5011011,2980.0,-5.384528,0.74,14900.0,0.186
149,0.3806872,0.23346052,0.1043972,0.5011416,3000.0,-5.1447806,0.715,15000.0,0.20199999
150,0.38067585,0.23343723,0.10439793,0.5011858,3020.0,-5.9573083,0.72999996,15100.0,0.19399999
151,0.3806689,0.23343727,0.10439874,0.5012361,3040.0,-5.527751,0.78000003,15200.0,0.198
152,0.38065988,0.23344667,0.104397275,0.50127524,3060.0,-5.342083,0.73,15300.0,0.19000001
153,0.3806817,0.23343685,0.10440065,0.50130785,3080.0,-5.039573,0.725,15400.0,0.197
154,0.38068518,0.23342331,0.10440203,0.501336,3100.0,-5.5088377,0.735,15500.0,0.184
155,0.38068357,0.23342219,0.10439619,0.50137615,3120.0,-6.1850557,0.66,15600.0,0.201
156,0.3806467,0.23340273,0.10439076,0.5014154,3140.0,-5.219851,0.72999996,15700.0,0.197
157,0.3806491,0.23338595,0.10439253,0.50144976,3160.0,-5.542114,0.735,15800.0,0.195
158,0.38062477,0.23335937,0.104385234,0.5014791,3180.0,-5.081804,0.75,15900.0,0.17199999
159,0.38062072,0.23336276,0.10438315,0.50152206,3200.0,-5.616646,0.66999996,16000.0,0.19100001
160,0.38061595,0.23334932,0.10438128,0.5015522,3220.0,-4.9953628,0.81499994,16100.0,0.19600001
161,0.3806735,0.233322,0.10439056,0.5015804,3240.0,-4.8225923,0.77,16200.0,0.19399999
162,0.3807139,0.23329298,0.104393855,0.50161207,3260.0,-4.79095,0.725,16300.0,0.194
163,0.3807084,0.23327681,0.104388855,0.50164664,3280.0,-4.937725,0.71,16400.0,0.19299999
164,0.380706,0.23328587,0.1043946,0.50168544,3300.0,-5.3996687,0.745,16500.0,0.198
165,0.38069218,0.23327288,0.10440347,0.5017239,3320.0,-4.6128397,0.83000004,16600.0,0.197
166,0.38065597,0.2332608,0.10440663,0.50175434,3340.0,-4.6729302,0.775,16700.0,0.18500002
167,0.38064814,0.23324244,0.10440479,0.5017817,3360.0,-4.695653,0.73999995,16800.0,0.17700002
168,0.38067195,0.23322603,0.1044115,0.5018205,3380.0,-4.59196,0.775,16900.0,0.183
169,0.38066706,0.23321962,0.104413405,0.5018546,3400.0,-4.8704405,0.70500004,17000.0,0.192
170,0.38067207,0.23321947,0.1044175,0.50189614,3420.0,-4.9282317,0.765,17100.0,0.194
171,0.38066873,0.23321068,0.10442251,0.5019215,3440.0,-5.098059,0.725,17200.0,0.18200001
172,0.3806569,0.23320863,0.10442736,0.5019493,3460.0,-4.826251,0.77,17300.0,0.211
173,0.3806434,0.23318772,0.10442921,0.50197583,3480.0,-4.768758,0.765,17400.0,0.201
174,0.38061833,0.23318,0.10442706,0.5020024,3500.0,-5.238895,0.795,17500.0,0.19800001
175,0.38061142,0.2331942,0.10443182,0.5020261,3520.0,-5.355044,0.735,17600.0,0.201
176,0.38061744,0.23317978,0.104433,0.50204664,3540.0,-5.2765036,0.785,17700.0,0.21900001
177,0.38062122,0.23317488,0.10443403,0.5020774,3560.0,-4.8592267,0.8,17800.0,0.192
178,0.3806109,0.2331777,0.104430154,0.502111,3580.0,-5.028679,0.765,17900.0,0.17899999
179,0.38061944,0.23316805,0.10442915,0.5021419,3600.0,-5.1057243,0.775,18000.0,0.178
180,0.38061213,0.23316705,0.104428366,0.5021726,3620.0,-4.1301003,0.81500006,18100.0,0.223
181,0.38057283,0.23316939,0.10442587,0.50221074,3640.0,-4.4693155,0.73999995,18200.0,0.19900002
182,0.38056523,0.23316646,0.10442237,0.502233,3660.0,-5.0249357,0.73999995,18300.0,0.216
183,0.38056657,0.23316029,0.10442523,0.5022729,3680.0,-4.809898,0.805,18400.0,0.198
184,0.38053876,0.23315687,0.10442225,0.5022971,3700.0,-5.35808,0.76,18500.0,0.20799999
185,0.3805406,0.23314326,0.10441355,0.5023198,3720.0,-5.6644454,0.78999996,18600.0,0.203
186,0.38053292,0.23313162,0.10441257,0.50235534,3740.0,-4.0315495,0.765,18700.0,0.189
